cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
Convex,Smooth,White,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,Red,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,Edible
Flat,Fibrous,White,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Fibrous,Gray,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Scaly,Red,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Smooth,White,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Smooth,White,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,White,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Red,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,Edible
Flat,Fibrous,White,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Flat,Fibrous,White,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Scaly,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Flat,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,Edible
Convex,Smooth,White,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,White,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,Gray,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,Brown,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,Edible
Flat,Smooth,Gray,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,Brown,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Smooth,Gray,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,Edible
Convex,Smooth,White,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,Edible
Flat,Smooth,White,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Gray,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,Edible
Flat,Smooth,Gray,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Smooth,White,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Red,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,Edible
Convex,Scaly,Red,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Gray,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,Gray,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,Edible
Flat,Scaly,Yellow,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g,Edible
Flat,Scaly,White,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Flat,Smooth,Brown,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,Brown,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,Edible
Flat,Fibrous,Gray,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Gray,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Red,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Brown,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Smooth,White,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Flat,Smooth,Gray,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Flat,Scaly,White,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Bell,Smooth,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,Edible
Flat,Fibrous,Gray,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,White,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Convex,Fibrous,White,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,White,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Smooth,Gray,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,Red,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,Edible
Flat,Fibrous,White,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Flat,Smooth,Brown,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Flat,Fibrous,Brown,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Gray,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Gray,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Convex,Scaly,Red,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,Edible
Convex,Smooth,White,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,Poisonous
Convex,Fibrous,Brown,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,Brown,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,Edible
Flat,Scaly,Brown,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,Poisonous
Convex,Fibrous,Gray,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Gray,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Red,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,Edible
Flat,Fibrous,Brown,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,White,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Flat,Smooth,Brown,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,Red,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Flat,Smooth,White,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Smooth,Brown,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Convex,Fibrous,Brown,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Scaly,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,Poisonous
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,Edible
Flat,Fibrous,Brown,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Red,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,Edible
Flat,Fibrous,White,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Fibrous,White,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,White,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Smooth,White,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Gray,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,Edible
Convex,Smooth,Gray,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,Edible
Flat,Scaly,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Fibrous,Red,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,Edible
Flat,Smooth,Brown,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Flat,Scaly,Brown,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,Edible
Convex,Fibrous,Brown,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,Edible
Convex,Scaly,Red,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,Edible
Flat,Scaly,White,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Scaly,Yellow,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Flat,Smooth,Brown,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Flat,Fibrous,White,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Flat,Smooth,Brown,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Red,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,Edible
Flat,Fibrous,Brown,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,White,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,Gray,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,Edible
Flat,Fibrous,White,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Flat,Smooth,Yellow,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Flat,Fibrous,White,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Flat,Fibrous,Brown,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,Edible
Convex,Fibrous,Brown,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Gray,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Gray,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,Edible
Convex,Smooth,Brown,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,Edible
Bell,Scaly,White,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Scaly,Red,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,Edible
Flat,Smooth,Brown,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Fibrous,Red,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,Edible
Flat,Scaly,Brown,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,Edible
Convex,Smooth,Gray,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Gray,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,Gray,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Scaly,Red,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,Edible
Flat,Fibrous,Gray,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,Brown,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Fibrous,White,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,Edible
Convex,Fibrous,Red,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Brown,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,Brown,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,Edible
Flat,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,Edible
Convex,Fibrous,White,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Smooth,Brown,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,White,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Flat,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,Edible
Flat,Fibrous,White,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Fibrous,Gray,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,Edible
Convex,Fibrous,White,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,White,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Flat,Smooth,Gray,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Scaly,Brown,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Flat,Fibrous,Gray,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,Edible
Convex,Fibrous,White,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Brown,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,Edible
Convex,Scaly,Red,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Flat,Smooth,Brown,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Flat,Smooth,Gray,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,Edible
Flat,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,Edible
Convex,Smooth,White,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Smooth,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,Edible
Flat,Scaly,Brown,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,Edible
Convex,Smooth,Gray,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Red,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,Edible
Convex,Fibrous,Gray,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Flat,Smooth,White,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Fibrous,Brown,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,Edible
Flat,Fibrous,Gray,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,Gray,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Convex,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,Edible
Flat,Scaly,Brown,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Convex,Scaly,Gray,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,Edible
Convex,Smooth,White,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,Edible
Bell,Smooth,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Smooth,White,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,Edible
Flat,Fibrous,Brown,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Scaly,Gray,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,Edible
Flat,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Convex,Smooth,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,Gray,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,Edible
Flat,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,Brown,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,Edible
Flat,Fibrous,Brown,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,Red,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,Edible
Flat,Fibrous,Gray,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Red,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,Edible
Convex,Scaly,Red,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,Edible
Convex,Smooth,White,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Fibrous,Red,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Brown,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,Edible
Convex,Scaly,Red,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,Edible
Convex,Fibrous,Gray,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,Edible
Convex,Scaly,Gray,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,Edible
